IP,Web,MH_SH,EH_SH,WH_SH,ACAO_SH,EH_H,MH_H,FH_H,IH_H,Security Report SH
"	103.255.15.51",https://pendaftarandtks-dev.jogjaprov.go.id/,6,0,0,0,3,12,2,4,F
103.255.15.44,http://sda.dpupesdm.jogjaprov.go.id/,6,0,0,0,2,12,1,3,F
"	103.255.15.51",https://bpka.jogjaprov.go.id/,5,1,0,0,4,11,1,4,D
"	103.255.15.97",https://grhasia.jogjaprov.go.id/info,4,2,1,0,5,10,1,4,D
103.255.15.93,https://dinkes.jogjaprov.go.id/,6,0,0,0,1,13,2,1,F
"	103.255.15.112",https://labkes.jogjaprov.go.id/,0,6,1,0,8,7,2,8,A
"	103.255.15.93",https://dispertaru.jogjaprov.go.id,6,0,0,0,2,12,1,3,F
"	103.255.15.51",https://pendaftarandtks-dev.jogjaprov.go.id/,6,0,0,0,2,12,1,3,F
"	103.255.15.51",https://manunggalraharja-dev.jogjaprov.go.id/#about,6,0,0,0,3,12,2,3,F
"	103.255.15.175",https://dioramaarsip.jogjaprov.go.id/,6,0,0,0,3,12,2,3,F
"	103.255.15.144",http://simundu.jogjaprov.go.id/,6,0,0,0,3,12,2,3,F
103.255.15.112,https://diskominfo.jogjaprov.go.id/,0,6,1,0,8,7,2,8,A
103.255.15.175,https://balaiyanpus.jogjaprov.go.id/,6,0,0,0,1,13,2,1,F
"	103.255.15.212",https://csirt.jogjaprov.go.id/,6,0,0,0,3,12,2,4,F
